week,location,average_price
09/07/2011,152.80(148.45),128.35(118.03)
02/07/2011,147.56(147.37),133.44(116.78)
25/06/2011,142.10(139.30),132.29(116.30)
18/06/2011,139.20(131.15),129.36(114.96)
11/06/2011,133.99(125.63),126.81(114.66)
04/06/2011,130.44(121.74),121.55(111.26)
21/05/2011,137.84(126.66),123.78(109.49)
14/05/2011,139.46(131.52),123.75(111.45)
07/05/2011,144.08(130.01),127.50(115.32)
30/04/2011,149.45(122.61),131.18(118.43)
23/04/2011,116.28(112.17),111.00(101.64)
16/04/2011,132.56(108.70),N.S.(N.S.)
09/04/2011,129.81(76.93),112.84(82.25)
02/04/2011,75.18(69.52),66.40(66.59)
26/03/2011,N.S.(N.S.),N.S.(N.S.)
19/03/2011,N.S.(N.S.),N.S.(N.S.)
12/03/2011,94.66(77.35),79.00(73.71)
05/03/2011,86.14(85.89),N.S.(75.65)
26/02/2011,92.48(97.15),76.02(82.20)
19/02/2011,98.26(101.73),87.78(86.83)
12/02/2011,104.73(107.88),88.11(87.33)
05/02/2011,109.35(107.33),92.20(89.44)
29/01/2011,112.92(113.04),N.S.(N.S.)
22/01/2011,115.79(108.55),93.04(91.35)
15/01/2011,117.73(N.S.),96.58(94.06)
08/01/2011,118.88(111.53),95.84(97.22)
01/01/2011,127.77(117.54),101.34(103.07)
29/12/2012,150.02(122.94),131.47(97.88)
22/12/2012,150.92(122.48),133.94(97.97)
15/12/2012,154.59(119.60),138.49(96.47)
08/12/2012,156.91(124.39),135.21(101.38)
01/12/2012,157.58(127.73),133.61(101.54)
24/11/2012,158.64(124.70),134.87(105.75)
17/11/2012,156.87(126.68),135.29(104.42)
10/11/2012,156.08(129.00),131.40(109.59)
03/11/2012,152.76(130.44),129.33(109.82)
27/10/2012,N.S.(131.43),N.S.(114.62)
20/10/2012,155.24(129.89),127.74(111.21)
13/10/2012,157.81(135.17),131.21(110.37)
06/10/2012,376.15(N.S.),133.39(N.S.)
29/09/2012,157.49(139.56),135.37(112.58)
22/09/2012,159.36(133.90),136.13(108.53)
15/09/2012,167.08(131.82),136.86(111.83)
08/09/2012,166.75(133.12),139.27(110.50)
01/09/2012,169.18(132.88),139.10(109.13)
25/08/2012,168.91(134.38),142.19(110.77)
18/08/2012,176.37(135.08),141.27(111.46)
11/08/2012,168.84(140.09),143.27(111.69)
04/08/2012,167.87(138.40),143.63(111.13)
28/07/2012,168.74(138.34),142.41(118.38)
21/07/2012,169.66(145.3),144.24(122.05)
14/07/2012,169.99(149.01),143.47(126.51)
07/07/2012,171.12(141.42),148.91(133.88)
30/06/2012,167.45(139.03),151.72(132.31)
23/06/2012,173.06(136.89),154.52(129.41)
16/06/2012,174.01(134.56),158.55(126.8)
09/06/2012,180.20(131.63),161.92(121.43)
02/06/2012,180.4(127.82),159.31(121.08)
26/05/2012,177.46(129.87),160.38(123.76)
19/05/2012,170.32(133.71),158.07(123.68)
12/05/2012,167.61(133.02),155.05(127.48)
05/05/2012,169.35(135.19),158.11(131.19)
28/04/2012,157.14(140.64),155.62(110.74)
21/04/2012,119.86(112.52),142.01(N.S.)
14/04/2012,120.43(130.97),153.93(112.77)
07/04/2012,97.99(125.62),133.30(66.31)
31/03/2012,85.11(75.18),88.75(66.40)
24/03/2012,N.S.(N.S.),N.S.(N.S.)
17/03/2012,NS (NS),NS(NS)
10/03/2012,88.25(94.66),80.24(79.00)
03/03/2012,92.24(86.14),NS(NS)
25/02/2012,98.94(92.48),75.41(76.02)
18/02/2012,102.75(98.26),86.76(87.78)
11/02/2012,106.55(104.73),86.79(88.11)
04/02/2012,107.62(109.35),86.98(92.20)
28/01/2012,110.58(112.92),86.03(N.S.)
21/01/2012,111.68(115.79),87.77(93.04)
14/01/2012,118.12(117.73),89.84(96.58)
07/01/2012,120.30(118.88),93.44(95.84)
